entidade_id,logradouro,numero,cep,localidade,municipio,estado
29cc8d26-68e3-4896-992c-8fc0bc338b08,AV. SANTA BERNADETHE,813,81010-200,LINDÓIA,Curitiba,PR
179fe346-cb81-4c23-8d3f-6c3d3714ecee,R. CONDE DOS ARCOS,426,81010-120,LINDÓIA,Curitiba,PR
a40a9273-6ccd-4780-936e-d5ab8f092dba,R. JOSINA RAMOS RÉGIO,56,81010-210,LINDÓIA,Curitiba,PR
98dc5eef-99ca-48c0-b98e-a81b4b032801,AV. PRESIDENTE WENCESLAU BRAZ,2591,81010-000,LINDÓIA,Curitiba,PR
e875df2c-d099-4f3b-b34b-c35bf25193b8,R. ALEIXO BETTEGA,741,81010-280,LINDÓIA,Curitiba,PR
cb0b54a0-9980-4aa5-aaec-c1451e00ab5b,R. LEON TOLSTOI,329,81010-090,LINDÓIA,Curitiba,PR
7f271dc5-700e-40d5-9862-2c4bee0b19b0,R. CONDE DOS ARCOS,156,81010-120,LINDÓIA,Curitiba,PR
7c6ac820-ad3c-44e2-ad1d-1e7898520869,AV. PRESIDENTE WENCESLAU BRAZ,1229,81010-000,LINDÓIA,Curitiba,PR
af8c297c-4ce0-4b36-8431-618f881ad033,AV. SANTA BERNADETHE,690,81010-200,LINDÓIA,Curitiba,PR
a4f6d61f-37ad-41d9-80ad-52595aa71a3e,R. SANTA JOANA DARC,449,81010-190,LINDÓIA,Curitiba,PR
7f9e19b0-c402-4163-97a1-04331e740fe2,AV. PRESIDENTE WENCESLAU BRAZ,1965,81010-000,LINDÓIA,Curitiba,PR
a11b60fd-dc4e-4e27-8ab5-6d501b0b0a37,AV. HENRY FORD,532,81010-100,LINDÓIA,Curitiba,PR
81173231-f6e5-45e4-8449-a437bd65ddd5,R. OSCAR WILDE,23,81010-230,LINDÓIA,Curitiba,PR
93cdfbbd-38e1-4bb8-bac4-acfa3cd68e87,AV. PRESIDENTE WENCESLAU BRAZ,1229,81010-000,LINDÓIA,Curitiba,PR
c5a9ae4d-37c3-4692-954c-00449277178d,R. GALILEU GALILEI,234,81010-180,LINDÓIA,Curitiba,PR
820ec272-b646-4039-976b-769a6d9b9904,AV. PRESIDENTE WENCESLAU BRAZ,2581,81010-000,LINDÓIA,Curitiba,PR
7f9d20cc-5a34-473b-ae5d-0e80a7e47270,R. AMÉRICO VESPÚCIO,636,81010-250,LINDÓIA,Curitiba,PR
1721a21e-9a41-498a-b701-ed8365e16902,R. CAPITÃO JOÃO ZALESKI,337,81010-080,LINDÓIA,Curitiba,PR
5b9a8e79-0203-4899-995f-dc4de01af17c,AV. PRESIDENTE WENCESLAU BRAZ,2955,81010-001,LINDÓIA,Curitiba,PR
1ee598cb-2c50-4aeb-ae51-c597c79566a3,R. DJALMA FERREIRA MACIEL,604,81010-270,LINDÓIA,Curitiba,PR
c38feabe-490f-44ee-8a5f-37db44316309,AV. PRESIDENTE WENCESLAU BRAZ,1615,81010-000,LINDÓIA,Curitiba,PR
0002b7b3-f11f-41a6-a56d-ead50228bffd,AV. PRESIDENTE WENCESLAU BRAZ,1893,81010-000,LINDÓIA,Curitiba,PR
d3220613-1798-4d41-a614-6dbfdf21446f,R. DJALMA FERREIRA MACIEL,1166,81010-270,LINDÓIA,Curitiba,PR
c84b4076-44ca-4c29-89fe-4a2a524ce017,AV. PRESIDENTE WENCESLAU BRAZ,2931,81010-001,LINDÓIA,Curitiba,PR
ae9bad64-3b5e-4fce-95d2-9b0d24e394a6,R. TOMÉ DE SOUZA,194,81010-010,LINDÓIA,Curitiba,PR
fd990347-9c01-41d5-995d-610a41dc67ce,R. PROFESSOR OSCAR KOLBE,225,81010-240,LINDÓIA,Curitiba,PR
ee0c000d-79b0-4da2-9690-c064ae660aaa,R. CONDE DOS ARCOS,698,81010-120,LINDÓIA,Curitiba,PR
ca078461-c28a-42a9-b7f4-991a4f1a1a98,R. ANTERO DE QUENTAL,211,81010-150,LINDÓIA,Curitiba,PR
e10224ff-9683-43c5-b153-b56472787094,R. ILDEFONSO STOCKLER DE FRANÇA,1016,81020-040,LINDÓIA,Curitiba,PR
c8c569d3-8c2b-4e1b-87a1-1d01c22438b5,R. LEON TOLSTOI,1063,81010-090,LINDÓIA,Curitiba,PR
d72e32dd-a92c-4e8d-b287-3c52f268d4cb,R. JOSINA RAMOS RÉGIO,323,81010-210,LINDÓIA,Curitiba,PR
b26634ba-7286-44cc-9d0c-68837ace466d,R. CAMILO CASTELO BRANCO,127,81010-080,LINDÓIA,Curitiba,PR
9c889b34-796b-45ca-a53a-f1d3ff308662,R. CAPITÃO JOÃO ZALESKI,383,81010-080,LINDÓIA,Curitiba,PR
00c2bb81-73a3-405a-adfb-475b0f62bba1,R. PAULO ROBERTO MUNHOZ COSTA,29,81010-187,LINDÓIA,Curitiba,PR
08e8d41f-4273-40c2-8ee3-a32f6f986043,R. PROFESSOR OSCAR KOLBE,93,81010-240,LINDÓIA,Curitiba,PR
ad2c1839-c4ff-4493-8109-06129617651a,R. AMÉRICO VESPÚCIO,636,81010-250,LINDÓIA,Curitiba,PR
0767a66a-da67-416f-852b-49dd80b1b27f,R. ALEXANDRE SALATA,408,81010-030,LINDÓIA,Curitiba,PR
c1899086-dac8-4c7e-8ecb-34eee7116dc6,R. CONDE DOS ARCOS,170,81010-120,LINDÓIA,Curitiba,PR
b8fa3189-6f13-453b-8bc5-87db876c36c6,R. LEON TOLSTOI,1078,81010-090,LINDÓIA,Curitiba,PR
663045d8-ce9c-4184-a9fb-2a2fd4e5e248,AV. HENRY FORD,880,81010-100,LINDÓIA,Curitiba,PR
23039a22-965d-4f28-8425-563447ecac3f,R. TOMÉ DE SOUZA,194,81010-010,LINDÓIA,Curitiba,PR
